account_id,score,verbatim_comment,nps_category
1000,6,The new editor is a downgrade. We've wasted months trying to adapt.,Detractor
1001,8,Support takes forever. Our P1 sat open for 3 weeks.,Passive
1002,0,Support takes forever. Our P1 sat open for 3 weeks.,Detractor
1003,8,Great support team. Always responsive.,Passive
1004,6,Constant downtime and no communication. We're done.,Detractor
1005,2,Support takes forever. Our P1 sat open for 3 weeks.,Detractor
1006,8,We love the CONCEPT but the execution has fallen off a cliff this year.,Passive
1008,5,Fine for now but we're watching competitors closely.,Detractor
1009,8,Fine for now but we're watching competitors closely.,Passive
1011,7,"Good product, needs better documentation.",Passive
1012,6,Solid CMS but the pricing feels steep for what we get.,Detractor
1013,9,El producto es bueno pero el soporte en español es inexistente.,Promoter
1014,10,Le produit est bon mais l'interface n'est pas intuitive pour notre équipe marketing.,Promoter
1016,7,Le produit est bon mais l'interface n'est pas intuitive pour notre équipe marketing.,Passive
1017,5,产品功能还可以，但客服团队沟通效率太低了。我们多次要求更换客户经理都没有得到回应。非常失望。,Detractor
1018,10,Transformed how our team publishes content. Love it.,Promoter
1019,3,Great developer experience and the support team is phenomenal.,Detractor
1020,10,Great developer experience and the support team is phenomenal.,Promoter
1022,9,Best headless CMS on the market. Period.,Promoter
1023,9,Transformed how our team publishes content. Love it.,Promoter
1024,9,Transformed how our team publishes content. Love it.,Promoter
1025,10,,Promoter
1026,7,,Passive
1027,5,Would recommend to anyone in our industry.,Detractor
1028,6,Transformed how our team publishes content. Love it.,Detractor
1029,8,We evaluated 5 CMS platforms. Contentstack won easily.,Passive
1030,10,Transformed how our team publishes content. Love it.,Promoter
1032,7,Transformed how our team publishes content. Love it.,Passive
1033,8,,Passive
1034,8,Would recommend to anyone in our industry.,Passive
1035,9,Best headless CMS on the market. Period.,Promoter
1036,10,Best headless CMS on the market. Period.,Promoter
1037,10,We evaluated 5 CMS platforms. Contentstack won easily.,Promoter
1038,9,Transformed how our team publishes content. Love it.,Promoter
1039,10,Would recommend to anyone in our industry.,Promoter
1040,10,Transformed how our team publishes content. Love it.,Promoter
1041,2,Best headless CMS on the market. Period.,Detractor
1042,10,Transformed how our team publishes content. Love it.,Promoter
1043,7,Transformed how our team publishes content. Love it.,Passive
1046,9,Best headless CMS on the market. Period.,Promoter
1048,8,Transformed how our team publishes content. Love it.,Passive
1050,8,Best headless CMS on the market. Period.,Passive
1051,10,Best headless CMS on the market. Period.,Promoter
1053,9,Best headless CMS on the market. Period.,Promoter
1054,6,Transformed how our team publishes content. Love it.,Detractor
1055,7,Best headless CMS on the market. Period.,Passive
1057,7,Would recommend to anyone in our industry.,Passive
1058,6,Would recommend to anyone in our industry.,Detractor
1059,9,Would recommend to anyone in our industry.,Promoter
1060,5,Would recommend to anyone in our industry.,Detractor
1061,8,,Passive
1062,7,Would recommend to anyone in our industry.,Passive
1064,10,Would recommend to anyone in our industry.,Promoter
1065,8,,Passive
1066,8,Best headless CMS on the market. Period.,Passive
1067,7,We evaluated 5 CMS platforms. Contentstack won easily.,Passive
1068,8,We evaluated 5 CMS platforms. Contentstack won easily.,Passive
1070,5,Best headless CMS on the market. Period.,Detractor
1071,8,Great developer experience and the support team is phenomenal.,Passive
1072,8,Best headless CMS on the market. Period.,Passive
1074,8,We evaluated 5 CMS platforms. Contentstack won easily.,Passive
1075,7,We evaluated 5 CMS platforms. Contentstack won easily.,Passive
1076,8,We evaluated 5 CMS platforms. Contentstack won easily.,Passive
1077,4,We evaluated 5 CMS platforms. Contentstack won easily.,Detractor
1078,7,Best headless CMS on the market. Period.,Passive
1079,8,Best headless CMS on the market. Period.,Passive
1080,8,,Passive
1083,9,Best headless CMS on the market. Period.,Promoter
1084,10,Transformed how our team publishes content. Love it.,Promoter
1086,7,Would recommend to anyone in our industry.,Passive
1087,8,Transformed how our team publishes content. Love it.,Passive
1088,9,Great developer experience and the support team is phenomenal.,Promoter
1089,9,Would recommend to anyone in our industry.,Promoter
1090,9,,Promoter
1091,7,,Passive
1092,8,We evaluated 5 CMS platforms. Contentstack won easily.,Passive
1093,6,We evaluated 5 CMS platforms. Contentstack won easily.,Detractor
1095,8,,Passive
1096,2,,Detractor
1099,10,We evaluated 5 CMS platforms. Contentstack won easily.,Promoter
1100,7,Great developer experience and the support team is phenomenal.,Passive
1101,5,Best headless CMS on the market. Period.,Detractor
1102,8,We evaluated 5 CMS platforms. Contentstack won easily.,Passive
1103,6,,Detractor
1104,8,Would recommend to anyone in our industry.,Passive
1105,10,Would recommend to anyone in our industry.,Promoter
1107,10,Best headless CMS on the market. Period.,Promoter
1108,7,We evaluated 5 CMS platforms. Contentstack won easily.,Passive
1109,2,Transformed how our team publishes content. Love it.,Detractor
1110,10,Great developer experience and the support team is phenomenal.,Promoter
1111,6,We evaluated 5 CMS platforms. Contentstack won easily.,Detractor
1113,8,Best headless CMS on the market. Period.,Passive
1114,8,Would recommend to anyone in our industry.,Passive
1115,9,We evaluated 5 CMS platforms. Contentstack won easily.,Promoter
1116,6,Best headless CMS on the market. Period.,Detractor
1117,8,We evaluated 5 CMS platforms. Contentstack won easily.,Passive
1118,7,Great developer experience and the support team is phenomenal.,Passive
1119,2,Best headless CMS on the market. Period.,Detractor
