account_id,account_name,arr,contract_end_date,plan_tier,industry,csm_name,region,days_to_renewal,renewing_next_90_days
1000,Acme Corp,17000,2026-05-25,Starter,Media & Publishing,Carlos Mendez,NA-West,55,True
1001,BrightPath Solutions,21000,2026-07-04,Starter,Travel & Hospitality,Sarah Chen,NA-East,95,False
1002,NovaTech Industries,29000,2026-05-19,Starter,Manufacturing,Sarah Chen,LATAM,49,True
1003,Meridian Health,193000,2026-06-12,Growth,Media & Publishing,David Kim,LATAM,73,True
1004,Pinnacle Media Group,203000,2026-05-10,Scale,Travel & Hospitality,Raj Patel,EMEA,40,True
1005,Vanguard Retail,106000,2026-06-02,Growth,Financial Services,James Okafor,APAC,63,True
1006,Atlas Financial,39000,2026-06-03,Starter,Government,Emily Watson,NA-East,64,True
1007,Zenith Publishing,1625000,2026-05-05,Enterprise,Travel & Hospitality,James Okafor,LATAM,35,True
1008,Crescent Labs,390000,2026-07-02,Scale,Media & Publishing,James Okafor,NA-East,93,False
1009,Orion Education,126000,2026-04-30,Growth,Media & Publishing,James Okafor,APAC,30,True
1010,TerraFirma Manufacturing,438000,2026-07-10,Scale,SaaS / Technology,Priya Sharma,EMEA,101,False
1011,Skyline Travel,310000,2026-05-24,Scale,Financial Services,Priya Sharma,LATAM,54,True
1012,Quantum Commerce,93000,2026-06-18,Growth,Travel & Hospitality,Emily Watson,LATAM,79,True
1013,RedLeaf Healthcare,135000,2026-04-27,Growth,Media & Publishing,Sarah Chen,EMEA,27,True
1014,BluePeak Software,1061000,2026-04-28,Enterprise,Media & Publishing,Raj Patel,NA-West,28,True
1015,Evergreen Media,1330000,2026-07-11,Enterprise,Education,Priya Sharma,EMEA,102,False
1016,Northstar Logistics,115000,2026-06-30,Growth,Manufacturing,Emily Watson,LATAM,91,False
1017,Pacific Rim Trading,1724000,2026-06-10,Enterprise,SaaS / Technology,Carlos Mendez,NA-West,71,True
1018,Ironclad Security,691000,2026-04-26,Enterprise,Financial Services,Priya Sharma,NA-West,26,True
1019,Summit Analytics,1751000,2026-04-28,Enterprise,Travel & Hospitality,Anna Kowalski,LATAM,28,True
1020,Coral Bay Resorts,1610000,2026-05-22,Enterprise,Manufacturing,Sarah Chen,NA-East,52,True
1021,Falcon Aerospace,378000,2026-05-04,Scale,Retail,Anna Kowalski,NA-West,34,True
1022,Jade River Tech,507000,2026-05-23,Enterprise,Manufacturing,Priya Sharma,LATAM,53,True
1023,Mosaic Digital,35000,2026-07-10,Starter,Manufacturing,Carlos Mendez,NA-West,101,False
1024,Beacon Insurance,285000,2026-06-28,Scale,Manufacturing,Sarah Chen,LATAM,89,True
1025,Tidal Wave Sports,456000,2026-04-22,Scale,Financial Services,Raj Patel,EMEA,22,True
1026,Golden Gate Ventures,65000,2026-05-20,Growth,Government,James Okafor,NA-East,50,True
